3,8
4,8
6,8
7,8
9,8
10,8
3,11
4,11
6,11
7,11
9,11
10,11
3,14
4,14
6,14
7,14
9,14
10,14
3,17
4,17
6,17
7,17
9,17
10,17
3,28
4,28
6,28
7,28
9,28
10,28
3,31
4,31
6,31
7,31
9,31
10,31
3,34
4,34
6,34
7,34
9,34
10,34
3,37
4,37
6,37
7,37
9,37
10,37
3,48
4,48
6,48
7,48
9,48
10,48
3,51
4,51
6,51
7,51
9,51
10,51
3,54
4,54
6,54
7,54
9,54
10,54
3,57
4,57
6,57
7,57
9,57
10,57
3,68
4,68
6,68
7,68
9,68
10,68
3,71
4,71
6,71
7,71
9,71
10,71
3,74
4,74
6,74
7,74
9,74
10,74
3,77
4,77
6,77
7,77
9,77
10,77
3,88
4,88
6,88
7,88
9,88
10,88
3,91
4,91
6,91
7,91
9,91
10,91
3,94
4,94
6,94
7,94
9,94
10,94
3,97
4,97
6,97
7,97
9,97
10,97
20,8
21,8
23,8
24,8
26,8
27,8
20,11
21,11
23,11
24,11
26,11
27,11
20,14
21,14
23,14
24,14
26,14
27,14
20,17
21,17
23,17
24,17
26,17
27,17
20,28
21,28
23,28
24,28
26,28
27,28
20,31
21,31
23,31
24,31
26,31
27,31
20,34
21,34
23,34
24,34
26,34
27,34
20,37
21,37
23,37
24,37
26,37
27,37
20,68
21,68
23,68
24,68
26,68
27,68
20,71
21,71
23,71
24,71
26,71
27,71
20,74
21,74
23,74
24,74
26,74
27,74
20,77
21,77
23,77
24,77
26,77
27,77
20,88
21,88
23,88
24,88
26,88
27,88
20,91
21,91
23,91
24,91
26,91
27,91
20,94
21,94
23,94
24,94
26,94
27,94
20,97
21,97
23,97
24,97
26,97
27,97
